,biomass_site,Plant_ID,Dji
302,1067,61,97.96827766
303,1068,2,84.30258113
304,1068,34,85.08989052
305,1068,66,97.79079049
306,1071,2,79.05661123
307,1071,14,58.74208046
308,1071,15,92.01767779
309,1071,22,84.52282651
310,1071,34,62.02221617
311,1071,66,91.74552524
312,1071,99,57.50616984
313,1074,14,90.69233664
314,1074,22,35.67205805
315,1074,77,77.70324558
316,1074,99,85.41329359
317,1076,2,89.25390242
318,1076,34,91.85893075
319,1079,22,75.83076613
320,1079,54,98.02750017
321,1079,60,95.48431355
322,1079,61,95.8692255
323,1080,2,73.86487167
324,1080,14,58.70732284
325,1080,15,88.02577733
326,1080,22,93.28082049
327,1080,34,58.26388561
328,1080,66,87.30984648
329,1080,99,58.4658213
330,1084,2,95.07791608
331,1084,34,99.26277053
332,1085,14,82.3283876
333,1085,22,37.07101995
334,1085,34,99.56295523
335,1085,77,77.63768315
336,1085,99,77.21887377
337,1086,54,98.36503842
338,1087,2,69.78737883
339,1087,14,60.41898702
340,1087,15,85.07631392
341,1087,34,56.13118474
342,1087,66,83.88656339
343,1087,99,61.13511305
344,1088,22,66.39995746
345,1088,60,94.45729637
346,1088,61,94.83433831
347,1088,77,94.98302697
348,1092,14,74.35033372
349,1092,22,41.05982581
350,1092,34,90.63405333
351,1092,77,78.91919673
352,1092,99,69.48498526
353,1093,2,67.04535727
354,1093,14,63.69868341
355,1093,15,83.29018914
356,1093,34,55.80403521
357,1093,66,81.61766246
358,1093,99,65.2597734
359,1095,33,96.80393567
360,1095,54,94.04026451
361,1096,22,57.12793092
362,1096,60,94.51678725
363,1096,61,94.88145858
364,1096,77,88.11664665
365,1100,14,67.02662376
366,1100,22,46.88878287
367,1100,34,82.0674465
368,1100,77,81.41849618
369,1100,99,62.50725515
370,1101,2,65.75220963
371,1101,14,68.37428853
372,1101,15,82.7082558
373,1101,34,57.30591964
374,1101,66,80.55673975
375,1101,99,70.65158543
376,1103,33,93.70304405
377,1103,54,90.68109337
378,1104,22,48.31872076
379,1104,60,95.65599821
380,1104,61,96.00445634
381,1104,77,82.00412954
382,1108,2,93.18435081
383,1108,14,60.46838829
384,1108,22,54.07143686
385,1108,34,73.83028224
386,1108,77,85.10108465
387,1108,99,56.44812417
388,1109,2,66.02525112
389,1109,14,74.16249845
390,1109,15,83.3770582
391,1109,34,60.51010773
392,1109,66,80.77767388
393,1109,99,77.0190766
394,1112,22,40.06484268
395,1112,60,97.85911169
396,1112,61,98.1880307
397,1112,77,76.70271673
398,1113,33,91.61118192
399,1113,54,88.34797777
400,1113,60,95.88418014
401,1113,61,96.26533254
402,1116,2,67.84442219
403,1116,14,80.82367279
404,1116,15,85.26625498
405,1116,34,65.16478132
406,1116,66,82.26918822
407,1116,99,84.14011216
408,1117,2,85.24768199
409,1117,14,55.04225786
410,1117,15,94.86460844
411,1117,22,62.10748949
412,1117,34,66.15317725
413,1117,66,95.62359799
414,1117,77,89.80431707
415,1117,99,51.71965826
416,1118,73,99.05818489
417,1120,3,99.1955843
418,1120,22,32.92842242
419,1120,77,72.46058331
420,1120,99,98.8244867
421,1122,22,93.14544098
422,1122,33,90.63222419
423,1122,54,87.16197467
424,1122,60,91.53897502
425,1122,61,91.9257301
426,1123,2,71.0900419
427,1123,14,88.15928915
428,1123,15,88.29667359
429,1123,27,99.18460806
430,1123,34,70.98409228
431,1123,66,84.9634869
432,1123,99,91.83874414
433,1124,2,77.83212111
434,1124,14,51.08581336
435,1124,15,88.68575791
436,1124,22,70.69607184
437,1124,34,59.23329428
438,1124,66,89.07446777
439,1124,77,95.35973115
440,1124,99,48.68622766
441,1125,73,97.14464018
442,1125,89,97.27956814
443,1129,3,96.41493006
444,1129,14,95.12644643
445,1129,22,27.81437256
446,1129,77,69.49081882
447,1129,99,89.56752976
448,1130,22,83.10176218
449,1130,33,90.786787
450,1130,54,87.15061953
451,1130,60,88.12375838
452,1130,61,88.51243538
453,1131,2,75.58651104
454,1131,14,96.01982762
455,1131,15,92.36453386
456,1131,27,97.95744335
457,1131,34,77.71288108
458,1131,66,88.7597056
459,1131,99,99.98620021
460,1132,73,96.27366642
461,1132,89,94.95612542
462,1134,2,71.15760171
463,1134,14,48.96581298
464,1134,15,83.33572167
465,1134,22,79.57525789
466,1134,34,53.41250207
467,1134,66,83.30189115
468,1134,99,47.6708993
469,1137,3,94.62792493
470,1137,14,85.91577827
471,1137,22,25.83608734
472,1137,77,67.90429693
473,1137,99,80.43757951
474,1138,33,97.47770262
475,1138,54,95.41623962
476,1139,2,81.1083365
477,1139,15,97.32128404
478,1139,27,97.76928597
479,1139,34,85.12191875
480,1139,66,93.50484784
481,1140,73,96.47278379
482,1140,89,93.68522975
483,1142,22,73.19447481
484,1142,33,92.0515275
485,1142,54,88.29961664
486,1142,60,85.79907337
487,1142,61,86.18494933
488,1142,77,96.22588624
489,1143,2,65.33185177
490,1143,14,48.90323532
491,1143,15,78.89758696
492,1143,22,88.80185897
493,1143,34,48.98203656
494,1143,66,78.38209408
495,1143,99,48.80210944
496,1146,73,97.73475004
497,1146,89,93.50906924
498,1147,2,87.46855954
499,1147,27,98.63645587
500,1147,34,93.05405862
501,1147,66,99.07050346
502,1148,3,93.92089805
503,1148,14,76.9577544
504,1148,22,27.73869352
505,1148,34,95.46494052
506,1148,77,67.83129461
507,1148,99,71.5997859
508,1149,33,92.18371862
509,1149,54,89.83558296
510,1150,2,60.67011124
511,1150,14,50.92117053
512,1150,15,75.58141816
513,1150,22,98.21651124
514,1150,34,46.40329917
515,1150,66,74.53895745
516,1150,99,51.94527192
517,1151,22,63.2767281
518,1151,33,94.43738033
519,1151,54,90.6183601
520,1151,60,84.6471429
521,1151,61,85.02476766
522,1151,77,88.2899416
523,1153,89,94.43305061
524,1154,2,94.42458914
525,1155,3,94.30802623
526,1155,14,68.42632523
527,1155,22,32.79449495
528,1155,34,86.19450344
529,1155,77,69.2549836
530,1155,99,63.24925492
531,1156,2,57.4660092
532,1156,14,54.7979384
533,1156,15,73.54914325
534,1156,34,45.9979875
535,1156,66,71.95516337
536,1156,99,56.77428929
537,1158,33,87.73361808
538,1158,54,85.08879961
539,1158,60,99.52957055
540,1158,61,99.88331059
541,1159,22,53.54921586
542,1159,33,97.77825106
543,1159,54,93.93734744
544,1159,60,84.68843023
545,1159,61,85.05241637
546,1159,77,80.91291199
547,1160,89,96.42485818
548,1163,2,96.52822004
549,1163,3,95.78351402
550,1163,14,60.31350808
551,1163,22,39.88919345
552,1163,34,77.05435977
553,1163,77,72.1116992
554,1163,78,98.65695146
555,1163,99,55.41943056
556,1164,2,55.94615088
557,1164,14,60.1570831
558,1164,15,72.88454457
559,1164,27,99.98194754
560,1164,34,47.79848493
561,1164,66,70.74496
562,1164,99,62.88520258
563,1164,108,99.97569801
564,1165,89,99.41966907
565,1166,33,84.37586607
566,1166,54,81.43056633
567,1166,60,93.16859053
568,1166,61,93.53458097
569,1167,3,99.08247616
570,1167,22,43.91888977
571,1167,54,98.24208633
572,1167,60,85.95655501
573,1167,61,86.30186984
574,1167,77,74.13843836
575,1168,73,96.9285982
576,1171,2,87.70513762
577,1171,3,98.2981858
578,1171,14,52.92683171
579,1171,15,94.93925117
580,1171,22,48.10792623
581,1171,34,68.21548786
582,1171,66,96.3206351
583,1171,77,76.23320536
584,1171,78,97.38966833
585,1171,99,48.47783542
586,1172,2,56.25731434
587,1172,14,66.64850417
588,1172,15,73.63485601
589,1172,27,95.54768427
590,1172,34,51.5827331
591,1172,66,70.98893245
592,1172,99,69.94881452
593,1172,108,97.99607876
594,1174,73,92.76346227
595,1174,89,96.1456632
596,1175,3,94.09543101
597,1175,22,34.62682981
598,1175,60,88.40070334
599,1175,61,88.72359704
600,1175,77,68.23382252
601,1176,33,81.92712542
602,1176,54,78.70741193
603,1176,60,87.3958783
604,1176,61,87.77236728
605,1176,98,99.94899152
606,1179,2,58.36888247
607,1179,14,73.97367467
608,1179,15,75.75701754
609,1179,27,92.03078185
610,1179,34,56.95532024
611,1179,43,98.94272501
612,1179,66,72.67135972
613,1179,99,77.7047562
614,1179,108,97.04911975
615,1180,2,79.21298031
616,1180,14,46.61096757
617,1180,15,87.58494327
618,1180,22,56.96478114
619,1180,34,59.81016803
620,1180,66,88.65607744
621,1180,77,81.42664877
622,1180,78,97.17975228
623,1180,99,42.85626876
624,1181,73,89.56453981
625,1181,89,91.55713578
626,1183,3,90.00317461
627,1183,22,26.08116515
628,1183,60,91.85978339
629,1183,61,92.15814922
630,1183,77,63.44541002
631,1183,99,95.66448684
632,1184,22,92.07367617
633,1184,33,80.80818574
634,1184,54,77.35064347
635,1184,60,82.58724567
636,1184,61,82.97176425
637,1184,98,99.90148786
638,1186,2,62.09621704
639,1186,14,81.90827795
640,1186,15,79.13977196
641,1186,27,89.5385272
642,1186,34,63.51323961
643,1186,43,97.77581534
644,1186,66,75.69536817
645,1186,99,85.96495477
646,1186,108,97.16421887
647,1187,2,71.16911024
648,1187,14,41.8515121
649,1187,15,80.8491995
650,1187,22,66.20289877
651,1187,34,52.04723847
652,1187,66,81.54732956
653,1187,77,87.5004271
654,1187,78,98.03314562
655,1187,99,39.12572978
656,1188,73,87.43712335
657,1188,89,87.91013409
658,1191,3,86.88814564
659,1191,14,91.64590608
